TimeInterval,GantryID,小客車,小貨車,大客車,大貨車,聯結車,direction,小客車速度,小貨車速度,大客車速度,大貨車速度,聯結車速度
116,1664,158,69,1,13,3,0,283,271,90,177,90
116,1664,125,52,5,10,13,1,100,95,90,86,82
116,1699,167,71,5,19,5,0,97,97,97,90,79
116,1699,140,55,1,14,3,1,97,97,90,88,90
116,1774,166,66,9,13,5,0,97,97,86,86,82
116,1774,104,63,2,22,4,1,102,100,91,90,91
116,1802,110,61,4,20,9,0,108,100,93,90,86
116,1802,138,65,3,16,2,1,104,100,100,90,86
116,1839,125,62,3,16,11,0,104,100,93,93,86
116,1839,144,54,1,16,4,1,100,97,90,91,86
116,1906,154,51,1,20,9,0,100,100,100,93,90
116,1906,174,74,4,27,10,1,254,250,93,240,235
116,1960,223,96,19,32,23,0,251,244,237,223,220
116,1960,175,92,12,32,29,1,97,93,90,86,82
116,2011,119,80,8,31,10,0,104,100,97,93,86
116,2011,156,94,6,32,20,1,97,93,88,86,82
116,2089,114,72,7,22,12,0,104,100,90,90,90
116,2089,176,103,4,23,32,1,100,100,91,90,88
116,2156,123,59,5,34,29,0,104,104,93,86,86
116,2156,148,83,4,29,15,1,100,100,90,90,82
116,2249,130,49,15,28,15,0,104,104,93,79,82
116,2249,130,84,6,32,25,1,97,97,63,90,86
116,2322,98,57,3,33,16,0,104,100,93,90,90
116,2322,127,85,5,18,20,1,100,100,93,95,88
116,2394,111,57,2,27,21,0,108,104,100,93,86
116,2394,141,72,3,16,24,1,104,104,97,100,90
116,2425,110,52,8,35,13,0,108,108,100,97,90
116,2425,131,63,1,15,22,1,104,104,93,90,93
116,2472,110,56,6,33,22,0,108,104,97,61,82
116,2472,120,52,6,24,20,1,104,100,95,90,88
116,2514,126,44,3,25,24,0,104,104,97,90,86
116,2514,100,53,0,32,23,1,108,104,0,93,86
116,2603,117,45,8,21,16,0,108,104,100,93,90
116,2603,92,54,2,19,23,1,104,100,93,90,86
116,2674,89,61,3,27,18,0,100,100,90,90,86
116,2674,99,68,3,25,29,1,104,100,93,86,86
116,2714,111,57,2,32,30,0,104,100,93,93,86
116,2714,76,44,2,23,22,1,108,104,95,93,86
116,2827,96,45,2,31,28,0,108,104,95,93,86
116,2827,96,49,3,22,26,1,108,104,100,97,88
116,2866,100,65,6,24,26,0,108,104,95,93,88
116,2866,79,43,2,11,9,1,108,104,64,90,90
116,2930,94,55,5,19,34,0,108,104,93,93,86
116,2930,104,51,4,29,21,1,104,104,91,86,82
116,3019,110,83,1,19,28,0,104,104,90,90,86
116,3019,85,67,2,23,20,1,86,82,79,79,81
116,3083,123,65,2,37,26,0,104,100,88,90,90
116,3083,92,62,2,24,16,1,82,79,77,68,68
116,3126,126,69,2,22,34,0,104,100,91,95,86
116,3126,125,54,1,31,20,1,190,179,93,131,164
116,3185,151,92,4,20,27,0,179,257,90,170,161
116,3185,138,72,0,35,18,1,97,97,0,82,82
116,3227,167,89,2,39,43,0,90,90,86,82,79
116,3227,147,77,1,37,19,1,100,97,75,86,82
116,3252,173,85,8,39,34,0,93,90,81,79,75
116,3252,129,74,1,35,22,1,100,97,86,90,86
116,3286,128,57,1,28,30,0,97,97,93,82,82
116,3286,117,64,1,27,19,1,93,91,90,82,79
116,3366,107,67,0,28,30,0,93,90,0,81,77
116,3366,165,76,2,27,35,1,97,93,79,86,82
116,3398,153,98,2,31,48,0,93,90,100,82,82
116,3398,166,95,6,25,24,1,61,57,57,50,54
116,3460,158,87,3,22,52,0,79,79,75,75,75
116,3460,113,53,3,26,25,1,93,90,86,84,79
116,3535,162,81,1,27,54,0,86,86,82,79,75
116,3535,133,57,3,22,32,1,93,90,82,86,79
116,3559,183,86,1,21,43,0,82,79,93,79,75
116,3561,114,67,1,27,33,1,93,90,82,86,79
116,3590,171,66,3,21,43,0,86,81,75,75,75
116,3590,133,85,2,23,48,1,183,90,84,82,110
116,3640,176,86,4,24,66,0,266,172,165,77,208
116,3640,141,97,2,22,78,1,90,86,73,79,79
116,3676,108,83,1,37,71,0,86,86,82,75,79
116,3676,149,105,3,29,78,1,79,75,68,68,68
116,3686,7,9,0,6,25,1,82,79,0,75,75
116,3696,116,88,1,31,63,0,86,79,86,72,72
116,3736,4,7,0,3,30,0,81,79,0,68,73
117,5,60,11,4,1,1,1,90,86,90,82,79
117,17,36,19,7,0,0,0,88,86,82,0,0
117,17,94,20,4,1,3,1,86,82,91,72,75
117,29,50,33,10,4,0,0,88,82,81,79,0
117,29,125,29,7,6,1,1,90,86,82,75,72
117,61,73,35,8,3,4,0,90,90,84,75,84
117,61,151,41,6,13,25,1,86,82,79,75,79
117,99,153,57,10,8,14,0,61,64,63,54,59
117,99,198,59,6,11,27,1,140,140,90,137,86
117,147,138,44,5,7,19,0,247,241,79,233,226
117,147,150,48,6,17,23,1,21,25,23,21,25
117,153,161,58,9,20,16,0,72,72,72,72,72
117,153,111,31,1,18,32,1,54,54,46,54,52
117,182,105,48,1,24,28,1,54,54,50,54,52
117,213,116,44,5,21,15,0,46,46,46,43,46
